Method,SeqType,DataSet,Annotation,PangenomeTool,Accessory genes,Core genes,Total genes,N_Gain_Ancs,N_Loss_Ancs,N_Gain_Tips,N_Loss_Tips,Method_V2,N_Events_Ancs,N_Events_Tips
Pangene_0.95.Miniprot0.98,ShortRead,All,PGAP,Pangene,676,3335,4011,1112,1207,2912,3270,"Pangene 
 (C0.95-M0.98)",2319,6182
Pangene_0.95.Miniprot0.98,ShortRead,All,Bakta,Pangene,918,3354,4272,1512,1493,4431,3695,"Pangene 
 (C0.95-M0.98)",3005,8126
Pangene_0.95.Miniprot0.98,LongRead,All,PGAP,Pangene,298,3818,4116,106,442,203,603,"Pangene 
 (C0.95-M0.98)",548,806
Pangene_0.95.Miniprot0.98,LongRead,All,Bakta,Pangene,411,3793,4204,175,495,343,714,"Pangene 
 (C0.95-M0.98)",670,1057
Pangene_0.95.Miniprot0.99,ShortRead,All,PGAP,Pangene,679,3363,4042,1005,1112,2776,3155,"Pangene 
 (C0.95-M0.99)",2117,5931
Pangene_0.95.Miniprot0.99,ShortRead,All,Bakta,Pangene,905,3341,4246,1538,1565,4380,3715,"Pangene 
 (C0.95-M0.99)",3103,8095
Pangene_0.95.Miniprot0.99,LongRead,All,PGAP,Pangene,298,3818,4116,100,449,193,609,"Pangene 
 (C0.95-M0.99)",549,802
Pangene_0.95.Miniprot0.99,LongRead,All,Bakta,Pangene,423,3792,4215,198,503,377,716,"Pangene 
 (C0.95-M0.99)",701,1093
Pangene_0.95.Miniprot0.9,LongRead,All,PGAP,Pangene,299,3814,4113,106,451,196,596,"Pangene 
 (C0.95-M0.9)",557,792
Pangene_0.95.Miniprot0.9,LongRead,All,Bakta,Pangene,395,3795,4190,157,470,313,673,"Pangene 
 (C0.95-M0.9)",627,986
Pangene_0.95.Miniprot0.9,ShortRead,All,Bakta,Pangene,872,3351,4223,1365,1422,4106,3463,"Pangene 
 (C0.95-M0.9)",2787,7569
Pangene_0.95.Miniprot0.9,ShortRead,All,PGAP,Pangene,639,3296,3935,967,1114,2593,2887,"Pangene 
 (C0.95-M0.9)",2081,5480
Pangene_0.98.Miniprot0.95,LongRead,All,PGAP,Pangene,335,3815,4150,140,477,259,661,"Pangene 
 (C0.98-M0.95)",617,920
